"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;;;"Marlena Łucja ADLER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"nauczyciel";"Lubań";"021001";"m. Lubań";"nie należy do partii politycznej";"";;;;
1;;;"Adam BABUŚKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej - starosta";"Nowa Wieś Legnicka";"020905";"gm. Legnickie Pole";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Żaneta BACZYŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"filolog języka francuskiego i hiszpańskiego";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Elżbieta BAJER";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pedagog";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
1;;;"Michał BANDER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"fizjoterapeuta";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Krystyna Henryka BARCIK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";;;;
1;;;"Artur BARCIKOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"rolnik";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Bogusław Stanisław BARNAŚ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"rolnik";"Rzeczyca";"021603";"gm. Grębocice";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Przemysław Stanisław BARTKIEWICZ";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"administratywista";"Rosochata";"020904";"gm. Kunice";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Agnieszka Iga BEM";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"nauczyciel akademicki";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Edyta BIELECKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"prawnik";"Szklarska Poręba";"020604";"m. Szklarska Poręba";"nie należy do partii politycznej";"";;;;
1;;;"Wiesław Jan BIENIEK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"emeryt";"Lubawka";"020703";"gm. Lubawka";"nie należy do partii politycznej";"";;;;
1;;;"Dorota BOJAKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"administratywista";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Piotr BORYS";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"prawnik";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
