"Nr okręgu";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;;"Kamil Sebastian BARCZYK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"kierownik podmiotu leczniczego";"Zgorzelec";"022502";"m. Zgorzelec";"nie należy do partii politycznej";"";;;
1;;"Waldemar Włodzimierz WITKOWSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inż. elektromechanik";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Unia Pracy";"";;;
1;;"Rafał Józef ŚLUSARZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
2;;"Damian MISZTELA";"KOMITET WYBORCZY WYBORCÓW NASZA LEWICA";"Mężczyzna";"handlowiec";"Piechowice";"020603";"m. Piechowice";"nie należy do partii politycznej";"";;;
2;;"Krzysztof Stanisław MRÓZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
2;;"Marek Adam OBRĘBALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;
2;;"Robert Sebastian PAWELCZYK";"KOMITET WYBORCZY POLSKA 2050";"Mężczyzna";"kierownik działu logistyki";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;
2;;"Patryk Piotr STRAUS";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Mężczyzna";"politolog";"Pisarzowice";"020702";"gm. Kamienna Góra";"członek partii politycznej: Nowa Demokracja-Tak";"";;;
2;;"Marcin Edward ZAWIŁA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"historyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Platforma Obywatelska RP";"";;;
3;;"Dorota CZUDOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"lekarz medycyny";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
3;;"Krzysztof Piotr JASIŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"ekonomista";"Glinica";"020306";"gm. Żukowice";"członek partii politycznej: Ruch Narodowy";"";;;
3;;"Tymoteusz Dominik MYRDA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"radca prawny";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska";"";;;
3;;"Małgorzata Helena SEKUŁA-SZMAJDZIŃSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawniczka";"Warszawa";"146516";"Wilanów";"członek partii politycznej: Nowa Lewica";"";;;
4;;"Agnieszka Maria KOŁACZ-LESZCZYŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"urzędnik samorządowy";"Wałbrzych";"026501";"m. Wałbrzych";"członek partii politycznej: Platforma Obywatelska RP";"";;;
4;;"Piotr LUDKOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Tąpadła";"021905";"gm. Marcinowice";"członek partii politycznej: Ruch Narodowy";"";;;
4;;"Renata Teresa WIERZBICKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pracownik administracyjny";"Wałbrzych";"026501";"m. Wałbrzych";"nie należy do partii politycznej";"";;;
5;;"Andrzej DYSZEWSKI";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE OBYWATELSKIE";"Mężczyzna";"nauczyciel akademicki";"Bielawa";"020201";"m. Bielawa";"nie należy do partii politycznej";"";;;
5;;"Paweł Jarosław GANCARZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"wójt";"Stoszowice";"022404";"gm. Stoszowice";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
5;;"Sebastian Mariusz GRZYB";"KOMITET WYBORCZY POLSKA 2050";"Mężczyzna";"ekonomista";"Wilkanów";"020806";"gm. Bystrzyca Kłodzka";"nie należy do partii politycznej";"";;;
